,percents,count_won,starting_player
70,"[0.45033998259804714, 0.4575250159415314, 0.463216208764218, 0.48820605391133326, 0.478169162623919, 0.47321405363254343, 0.6993397397098613, 0.6490240962996242]",2,Republican
71,"[0.46322177678353893, 0.44987690948112613, 0.43653488860526357, 0.47702639892760673, 0.45116909959953494, 0.47700934462917594, 0.7134337292032268, 0.6701576888116033]",2,Republican
72,"[0.45012704709758855, 0.4471725210362122, 0.4335120667837993, 0.6757754317047222, 0.4262398219060409, 0.6415691001096556, 0.5661867417534674, 0.5116725359078859]",4,Republican
73,"[0.45076562827208516, 0.46146221058090603, 0.4300159857243764, 0.44985432507941825, 0.4333953317790061, 0.7057244694064914, 0.6957472122099572, 0.5289385526285509]",3,Republican
74,"[0.5280884473642045, 0.5764607557171588, 0.5856604056349286, 0.6887269024855527, 0.39509204363319483, 0.4421303701920488, 0.44747136118037545, 0.4833130157838638]",4,Democrat
75,"[0.4428505365581725, 0.4512207176040328, 0.45836305303920694, 0.44424368232189304, 0.47269776364613963, 0.6911378102941012, 0.6747799784859964, 0.5313538515356261]",3,Republican
76,"[0.455444003671578, 0.4412629959668539, 0.47064006822694904, 0.4772523119276727, 0.3961249551166966, 0.486815328708292, 0.739101037607225, 0.7074485976817568]",2,Republican
77,"[0.5430561322468469, 0.553507475937298, 0.5601143829294337, 0.5273669625904449, 0.5915333660777103, 0.4450660131641412, 0.4586092501099356, 0.47417895935417015]",5,Democrat
78,"[0.6204325234242944, 0.5378565178801861, 0.7071138216968401, 0.4295186068519441, 0.442803569036883, 0.45031314425446956, 0.47325674244276056, 0.49004568547910676]",3,Democrat
79,"[0.432206315816395, 0.4616161071098682, 0.4372694249186206, 0.4420163472054337, 0.4880407277985299, 0.7123556872274918, 0.696374813428116, 0.4924450708512405]",2,Republican
80,"[0.5265269293935125, 0.7115878180111911, 0.7446151009495713, 0.38997093227360174, 0.42689910118875035, 0.43701851447349976, 0.4677541020598949, 0.4733404150745961]",3,Democrat
81,"[0.4484245321465305, 0.45794727042666555, 0.4434919904371061, 0.488784176884735, 0.43709893388023524, 0.48585240427685544, 0.7141434369899493, 0.6702006383948929]",2,Republican
82,"[0.4522797956648453, 0.45668518488524645, 0.45069994108455647, 0.4408016500030472, 0.47975844256959005, 0.6744369578713658, 0.6379705645116737, 0.5738131170219456]",3,Republican
83,"[0.5153733432554968, 0.7133841833222235, 0.5680767481584668, 0.5581569438069331, 0.3979316037354136, 0.44104875582584807, 0.4716410763877805, 0.47825287477097056]",4,Democrat
84,"[0.5687334350384088, 0.5974154403672359, 0.5528558453928943, 0.6542366679879257, 0.4109555977183222, 0.4480844762088726, 0.45534050887067573, 0.46536925571944127]",4,Democrat
85,"[0.4589353059716107, 0.44421473410119106, 0.45628592483419306, 0.45506873391500846, 0.4164980800453573, 0.7246859901612082, 0.7035636021432895, 0.5014179084512694]",3,Republican
86,"[0.4601842224914232, 0.45342098573556905, 0.6132226897082679, 0.4459187595335039, 0.6037030418825858, 0.5644806963524396, 0.524947716299605, 0.4969759031193063]",4,Republican
87,"[0.4553263030157471, 0.4520385562202433, 0.4237260576891808, 0.7074205423481978, 0.44062614063510563, 0.5915871858958518, 0.5392881063084226, 0.5209340668584599]",4,Republican
88,"[0.4593057954083706, 0.4403034165840454, 0.44823679730168997, 0.45780989438576986, 0.47817416993128253, 0.6921157754967989, 0.6638448345975, 0.5269105004580441]",3,Republican
89,"[0.4274525551496394, 0.44461725850276396, 0.4575832447130294, 0.471609228291362, 0.4677466965875583, 0.7171477664462946, 0.6904481408624015, 0.49065478765946846]",2,Republican
