,percents,count_won
59,"[0.47415924135048043, 0.45318755925058396, 0.5070029299312846, 0.44184801715373434, 0.43955904270701257, 0.6369091345988809, 0.48524837064197157, 0.7062287465615457]",3
60,"[0.4692418245595985, 0.5197418561368045, 0.4307391139521811, 0.7053067512116273, 0.45317154642800167, 0.6320713043005491, 0.48524837064197157, 0.44615620253487687]",3
61,"[0.5067976510839227, 0.6801894438387193, 0.4400149007366873, 0.6328783415240973, 0.4462185436586758, 0.4686369826861548, 0.4865589623914908, 0.48070931868074085]",3
62,"[0.4815833363487735, 0.6632513916889033, 0.5018043180048691, 0.6328783415240973, 0.44019916334321224, 0.4686369826861548, 0.4395242180282434, 0.5203903121719862]",4
63,"[0.5198227876860161, 0.6349206349206349, 0.4287282011936281, 0.7002172180804034, 0.44304360073867727, 0.49832124691773655, 0.4756350730321287, 0.44702763789333494]",3
64,"[0.47508359075040707, 0.6184594828685954, 0.44024527593542734, 0.45420506731500154, 0.7049579776467482, 0.49151079738187375, 0.5208259540582734, 0.43883578770095066]",3
65,"[0.47508359075040707, 0.44165246886569653, 0.48977271250536053, 0.4681725112516508, 0.7049579776467482, 0.5069162234427638, 0.45935919055649244, 0.5942597270043475]",3
66,"[0.43029353910855295, 0.48472335826607404, 0.39692459708258204, 0.7087084576255643, 0.5942023446681253, 0.46801760678187154, 0.576978966644672, 0.4979620515347883]",3
67,"[0.4286826429457953, 0.4716843840215519, 0.708456114077003, 0.6805924316786012, 0.34102739979450863, 0.4692449628707282, 0.5527388718342287, 0.5100372516556292]",4
68,"[0.4277288144386726, 0.7029336622324024, 0.48657213961424284, 0.6913282606457203, 0.5447003447061598, 0.46864042279458135, 0.3479134399652602, 0.4958804394197952]",3
69,"[0.4588964582055339, 0.47916653054290514, 0.48265233620542997, 0.6913282606457203, 0.7040633270853612, 0.4235878759323696, 0.406084280506727, 0.5153295147547797]",3
70,"[0.4557401655642049, 0.7112742718117437, 0.48265233620542997, 0.7443058825244346, 0.36995086015469236, 0.5057120971533209, 0.47594500034301285, 0.4377831110329273]",3
71,"[0.5150499017837655, 0.4792997205258928, 0.48265233620542997, 0.39221161985595404, 0.6979087302986018, 0.4495348434624829, 0.7230276925723131, 0.4351210990534241]",3
72,"[0.3910505394662124, 0.4677399125924163, 0.47269719991026854, 0.45027791960079766, 0.44775444653097873, 0.5146104692821877, 0.7392565433622535, 0.6940416417962852]",3
73,"[0.4585553242127017, 0.595053192165436, 0.47269719991026854, 0.48473202656418335, 0.4314323884945354, 0.4951955149586904, 0.5031394415971039, 0.6940416417962852]",3
74,"[0.4962754505554881, 0.595053192165436, 0.45233746154704413, 0.48736148585857936, 0.49091421515997424, 0.4610965841755602, 0.4638311013604151, 0.6924216765453006]",2
75,"[0.465693411594184, 0.6953170174627038, 0.4469546118672469, 0.4867928435213295, 0.4962108418128933, 0.4610965841755602, 0.42679493921489775, 0.691946906037227]",2
76,"[0.6885893803667251, 0.4950742450711255, 0.4291283212050816, 0.46038804972384484, 0.48990570816923507, 0.5088759471236448, 0.5949265576231552, 0.4696481867281431]",3
77,"[0.4676343166919629, 0.6436893578441774, 0.7001808111137474, 0.46038804972384484, 0.42989300411522635, 0.5088759471236448, 0.4462232840526345, 0.47971434589422374]",3
78,"[0.5645593691157553, 0.3956572066104177, 0.6864093507525143, 0.46038804972384484, 0.51353017458908, 0.4252706276590502, 0.6179332678911302, 0.5051979099837536]",5
79,"[0.5643684196805321, 0.4030937241759251, 0.6737035296881424, 0.4613300012463369, 0.6085276453603927, 0.4400644885838638, 0.5173451118321201, 0.5031542346220713]",5
80,"[0.5643684196805321, 0.4030937241759251, 0.4396968164486074, 0.45718797123584476, 0.6070153949462793, 0.4767063230969613, 0.7101856451433396, 0.49315510167824206]",3
81,"[0.5318614909286403, 0.5719447542035522, 0.4329288280598352, 0.5054119041909786, 0.45143149449773856, 0.4809069016922497, 0.6986677750547896, 0.4590615334322428]",4
82,"[0.525787361359158, 0.5908176100628931, 0.45836752487434607, 0.5903856608110837, 0.4408186555612652, 0.47780790922854244, 0.6335527054131284, 0.4371439007714378]",4
83,"[0.5734396293765824, 0.5068634627147025, 0.45883472072308684, 0.47998378934050295, 0.41052325179258986, 0.6999277127787743, 0.59049703327076, 0.42993450929776755]",4
